,country,id_channel,videos_pint21
1,Australia,UCc2oCI8o9lW40eZghEyGeIQ,28
2,Austria,UCkKjMOK6TqrmuWzzQl3cRNg,9
3,Belgium,UCPUYaxp3UQNSvPdcAd8fZxw,6
5,Brazil online,UC2cUdAZQ2B7aXsWhQuzmxJA,54
7,Croatia,UC6kDpr-TknEtDwrlpTXUE5A,8
8,France,UCHWJnfi2PiQ6AwN9_lQxWTA,18
10,Grece,UC2M5ejTtqA1sDWJ32WnvZmA,3
12,Italia,UCwz2FHQYQjoPx5tsdGkrMkw,3
15,Netherland,UC-MP22kPy72rQZtvdlfZVvw,5
16,Norway,UClXb3x0J3CrLB9pGXEhIfcQ,14
18,Suisse,UCFlkhTsC1VXc-X0v7FbHVYg,3
19,UK,UCls8WK5H0VnefXYV5hkBQig,68
22,Brazil - Sao Bernardo,UCNBaFWd0OConbs_xShKXdVg,5
23,Brazil Jaboticabal,UCtio8ltGoRhyoFbT_ofzDrQ,3
