,country,id_channel,videos_pint21,List_Videos_Id,cross_check_#videos,total_views,avg_views
0,Australia,UCc2oCI8o9lW40eZghEyGeIQ,28,"['A0CZK-1EUks', '4-tF4kOj8CM', 'nIIRuIAedLQ', '6onKFguPr5o', 'QPI45jbVDZg', 'wI3aQduGQRc', 'KW2oxFqowe4', 'R8aMBrfTU3g', 'smC69S4yHmE', 'EyOycwh9unM', 'xPiYL--f_Yw', 'SqfAE1_HUUk', '56RJfRbtlV8', '5ZOm7WXJ0SM', 'ctziryrBp34', '4q4CQDi4tOQ', 'sxOF2uUj8qo', 'F8jbzpOI8qQ', 'ro-CCYPd1bs', 'kKLEl-YMRQM', 'Yq-o832jlIU', '9zcXhSMi7S8', '5XTypiyfFhQ', 'EwU1Z9Ur-vs', 'WwwtmKbOrjE', 'F_1HIlOr0nE', 'bgMiwXI8mxs', 'SdrWT8lj2WE']",28,4463,159.39285714285714
1,Austria,UCkKjMOK6TqrmuWzzQl3cRNg,9,"['nac-lekVDF4', 'leCu9wckHmk', 'ZDMHB2SSJtw', 'iFcsGrUOwAQ', 'SF4rqIcXPA4', 'QLGMBge6YWo', 'ScClPhZ_TGE', 'gvM8iOz7tpA']",8,1691,211.375
2,Belgium,UCPUYaxp3UQNSvPdcAd8fZxw,6,"['28G4v9IWJcg', 'iflPXPYG8pU', 'EGTmCKDl_zM', 'jgkmWD2TRkg', 'FrghBM4t1yU', '1G9ta25-XjQ']",6,656,109.33333333333333
3,Brazil,UC2cUdAZQ2B7aXsWhQuzmxJA,62,"['ba1k6M74to0', 'ni_p8LyQSw4', 'fZ9yd5uDdgk', 'pbiSTYzgat8', 'qqcSGnT9gXs', 'YMQkEcFi_9o', 'cLlx8rnUJG8', 'eE7rtJdBHz0', 'nl0BkIc2eZE', 'ZrgPAlwfc6M', 'mxE1kqw6R6Q', 'C6ATOwAOUHo', 'vgAfRXVdn2Y', 'PHl8ynFdyIA', '9pPkrkTYkOg', 'y3PokUuuetQ', 'Go92RZyS4R8', '-sr3TSIqCAI', 'bNTSbxyh5qk', '09GKIAJlEUU', 'fxMiBo_XxEo', 'KWDQyNHHZmY', 'rEBHTeccjnU', 'VIl7DnGcCik', 'm-nwhGOW5wg', 'oVHezEQ6RZ8', '-OfbwNWi5HQ', 'r9wlGX-1Gvo', 'IQK0C6b1Evc', 'QDsRTgSvKNg', 'h4YoEqdUB1w', '4_7EY2bM95c', 'DeCKlrRJsEk', 'XJnD02xouJw', 's_Ye9lh_zBM', 'SNED8EJHIwU', 'opjQZ86hvTc', 'K9anQQDlyzE', 'yjtxKwTYQps', 'rJvDXJ_qKeM', 'F5Od2W_UKN4', 'xU1rgKuMqPs', 'oE_zoShlO2g', 'Z0UuLuscLBs', '7w6R5_Z2rPo', 'SjMSzyLRRBc', 'Fl822SeWRg4', 'KF26-IdzzPc', 'xpWeuNC8bqw', 'qRqVGtqcifs', 'xZ0yPtZqWFo', 'VmTecwQWX8Q', 'g4e9dabsrxk', '5GkVMHngb5g', 'pRhv20V3yjQ', 'ScUgACnudm0', 'ev7DtmHFD5s', 'aWAv7VbWmOY', 'Wwh9QHCUP1E', '71X5O997-Gs', '_1Vo3ZoeTIs', 'zwz9sQbGK6A']",62,16586,267.51612903225805
4,Croatia,UC6kDpr-TknEtDwrlpTXUE5A,8,"['dt4jyt6GfZQ', 'MLruHR7HDFs', 'ju7iJbs4mZY', 'vzTAvlaBtvs', '9pdtGULRI0E', 'YVA1n2Kp9R0', 'j6XmDtKdpJ8', 'TGd6uBslssA']",8,534,66.75
5,France,UCHWJnfi2PiQ6AwN9_lQxWTA,18,"['PFNf_Cd71eg', '7GYWFIehw64', 'tsHzIauWxu4', 'X9ZByxsjopU', 'CYY6hJgIAmE', 'hD825JvNVls', 'lJiIVhEuBsI', 'Te1AmuKOag4', 'vOLbcCClkZw', '8t5oBQlePZQ', 'J4_SXMxOf1U', 'P8btBBUWybs', '0N-HZJVimVw', 'qLI7ZGPQ5V0', 'DgfbF5J4NAc', 'yBnczjyDV0M', 'YDJZjeaOBHI', 'TG6bvZ4u-Qs']",18,5757,319.8333333333333
6,Grece,UC2M5ejTtqA1sDWJ32WnvZmA,3,"['hahJ7gaCAtM', 'RLlFoonf3y0', 'C9gUZN9_apY']",3,808,269.3333333333333
7,Italia,UCwz2FHQYQjoPx5tsdGkrMkw,3,"['vTwfH80BPdk', '5yPVIWNcWCc', 'u7JYpqZxsHM']",3,1032,344.0
8,Netherland,UC-MP22kPy72rQZtvdlfZVvw,5,"['H-bCAdr9RWs', '3w1kGxaLvzM', '92jf3vqN144', 'Ld_8cMgy7ww', 'cQ1O9C0o7KU']",5,473,94.6
9,Norway,UClXb3x0J3CrLB9pGXEhIfcQ,14,"['qvUtYHB_buA', 'mpwFlt91I98', 'tZssCjjXhQA', 'XZxqM7wky_0', 'Z9AGqJuESok', '--qGwbOFJYw', 'VcwVIMbVNpQ', '2MzFoW54vyg', '98mDjfdmjDM', '954QDo-IXBE', '9ctmRedQAa4', 'kiy6YAZl2Fw', 'jMzSODvEVGg', '7tSDytB9NA8']",14,1851,132.21428571428572
